PokerStars Tournoi #3436563040, No Limit Hold'em
Super Satellite
Buy-in : €4.50/€0.50 EUR
116 joueurs
Dotation totale : €522.00 EUR 
Tournoi cible #3436562912 Buy-in : €20.00 EUR
Tournoi commencé 31/07/2022 18:30:00 CET [31/07/2022 12:30:00 ET]

  1: L.solitaire (France),  (qualifiés pour le tournoi cible)
  2: NoBanksy (Espagne),  (qualifiés pour le tournoi cible)
  3: OOOperQuee (Espagne),  (qualifiés pour le tournoi cible)
  4: Paellamix (Espagne),  (qualifiés pour le tournoi cible)
  5: RaulesGM (Espagne),  (qualifiés pour le tournoi cible)
  6: RootsBet (France),  (qualifiés pour le tournoi cible)
  7: RubenCaza (Espagne),  (qualifiés pour le tournoi cible)
  8: SESTAOTARRA (Espagne),  (qualifiés pour le tournoi cible)
  9: Theo972Win (France),  (qualifiés pour le tournoi cible)
  10: alex432046 (Espagne),  (qualifiés pour le tournoi cible)
  11: barbutes (Espagne),  (qualifiés pour le tournoi cible)
  12: bcristian35 (Espagne),  (qualifiés pour le tournoi cible)
  13: chenrise (Espagne),  (qualifiés pour le tournoi cible)
  14: dr squeeze31 (France),  (qualifiés pour le tournoi cible)
  15: firebowl67 (France),  (qualifiés pour le tournoi cible)
  16: foolo3 (France),  (qualifiés pour le tournoi cible)
  17: isaboh520 (France),  (qualifiés pour le tournoi cible)
  18: jmcafein29 (France),  (qualifiés pour le tournoi cible)
  19: joaki21 (Espagne),  (qualifiés pour le tournoi cible)
  20: legolas30000 (Espagne),  (qualifiés pour le tournoi cible)
  21: nandofer1999 (Espagne),  (qualifiés pour le tournoi cible)
  22: nofearZ99 (France),  (qualifiés pour le tournoi cible)
  23: pierretho1 (France),  (qualifiés pour le tournoi cible)
  24: psychoman59 (France),  (qualifiés pour le tournoi cible)
  25: snarf99 (France),  (qualifiés pour le tournoi cible)
  26: youns60 (France),  (qualifiés pour le tournoi cible)
  27: laguerza.78 (Espagne), €2,00
  28: llanx2222 (Espagne), 
  29: crasti98 (Espagne), 
  30: vanos7654 (France), 
  31: Gambin13 (Espagne), 
  32: jose rp9 (Espagne), 
  33: Nostradamus73 (Espagne), 
  34: hellokytti73 (Espagne), 
  35: CrazyJoker86 (Espagne), 
  36: dick_crazzy (Espagne), 
  37: Franceou (France), 
  38: vitovi46 (Espagne), 
  39: cheeerry (Espagne), 
  40: bigorra1981 (Espagne), 
  41: kapilobo73 (Espagne), 
  42: mabagr77 (Espagne), 
  43: gazgaz46 (France), 
  44: SrMML (Espagne), 
  45: ELENGOA (Espagne), 
  46: Brunario (Espagne), 
  47: soniaoliver (Espagne), 
  48: vixe89 (Espagne), 
  49: Psycho6738 (France), 
  50: stofio83 (France), 
  51: lucaswcao78 (Espagne), 
  52: fjrp3 (Espagne), 
  53: alvarodiii (Espagne), 
  54: depaint002 (Espagne), 
  55: Samu62111 (France), 
  56: k far 20011 (France), 
  57: ldiazxl (Espagne), 
  58: zhep23 (Espagne), 
  59: candyluck03 (France), 
  60: PhilB40K (France), 
  61: ima355 (Espagne), 
  62: Puey515 (Espagne), 
  63: ThorKhan (Espagne), 
  64: alex98fd (Espagne), 
  65: lionel911 (France), 
  66: solutions36 (Espagne), 
  67: Julien154 (France), 
  68: carmar3110 (Espagne), 
  69: nenerio (Espagne), 
  70: jeremyBN (France), 
  71: seblind (France), 
  72: JorgeRoca777 (Espagne), 
  73: Bamhoppus (France), 
  74: Pitu52 (Espagne), 
  75: Osiris&Cie (France), 
  76: BloodMoney75 (France), 
  77: CRIIMSIIX (France), 
  78: iL_JoKeR22 (Espagne), 
  79: Bacalao33España (Espagne), 
  80: massoumbai52 (France), 
  81: malumbresbar (Espagne), 
  82: rodrigogpo (Espagne), 
  83: milpetas (Espagne), 
  84: amorata (Espagne), 
  85: Poska37 (France), 
  86: migueje99 (Espagne), 
  87: moralbi (Espagne), 
  88: tontongreg (France), 
  89: toulou21 (France), 
  90: lucho power (Espagne), 
  91: Bernabe1985 (Espagne), 
  92: rico27240 (France), 
  93: katsumix (France), 
  94: yety23 (Espagne), 
  95: mamenxu (Espagne), 
  96: JEZZÚ (Espagne), 
  97: Hazadaêth (Espagne), 
  98: alexcugerean (Espagne), 
  99: samourai04 (France), 
  100: Mde12.IT (Espagne), 
  101: perexiin (Espagne), 
  102: bboy14__ps (France), 
  103: SamGivernaud (France), 
  104: AlucardetomC (France), 
  105: edushoto69 (Espagne), 
  106: andresiko128 (Espagne), 
  107: blondin1993 (France), 
  108: jaguilar15 (Espagne), 
  109: aldo702 (France), 
  110: golfker (Espagne), 
  111: Erpintos (Espagne), 
  112: elmasdm (Espagne), 
  113: SHAENDY (Espagne), 
  114: flipeanteq (Espagne), 
  115: ojo_halcon (Espagne), 
  116: currojavi (Espagne), 

Vous avez terminé à la 1er place (éliminé lors de la main #237703850512).


