PokerStars Tournoi #3450744901, No Limit Hold'em
Super Satellite
Buy-in : €18.00/€2.00 EUR
96 joueurs
Dotation totale : €1728.00 EUR 
Tournoi cible #3436562882 Buy-in : €250.00 EUR
Tournoi commencé 22/08/2022 21:00:00 CET [22/08/2022 15:00:00 ET]

  1: 3BarrelsBuffle (France), encore en lice
  2: AlexeyROL (Espagne), encore en lice
  3: Antho2697 (France), encore en lice
  4: Bertybolmi (Espagne), encore en lice
  5: Bronack01 (France), encore en lice
  6: Djoc4ll8 (France), encore en lice
  7: Echeyde (Espagne), encore en lice
  8: FoldToo2win (Espagne), encore en lice
  9: GG39350 (France), encore en lice
  10: GOLFOTRUMP (Espagne), encore en lice
  11: Hmuñiz (Espagne), encore en lice
  12: JORGE GAL404 (Espagne), encore en lice
  13: JeiGi (Espagne), encore en lice
  14: LaB77340 (France), encore en lice
  15: MATTMOUSSILOU (France), encore en lice
  16: MarcoMaltese (France), encore en lice
  17: Muniain319 (Espagne), encore en lice
  18: Neko3084 (France), encore en lice
  19: R2D2_FULL (Espagne), encore en lice
  20: RaBoKoP (Espagne), encore en lice
  21: Ramil1959 (Espagne), encore en lice
  22: Rat0pin (Espagne), encore en lice
  23: SPORTCLIO (Espagne), encore en lice
  24: Sergiocastillo2 (Espagne), encore en lice
  25: TANCO1980 (Espagne), encore en lice
  26: UGOLDARK (France), encore en lice
  27: aparkatu (Espagne), encore en lice
  28: argui43 (Espagne), encore en lice
  29: atendis (Espagne), encore en lice
  30: bAwsEpLaYa (Espagne), encore en lice
  31: badboy290934 (France), encore en lice
  32: cerezo96 (Espagne), encore en lice
  33: charnaele (France), encore en lice
  34: chbic (France), encore en lice
  35: d@nco (France), encore en lice
  36: david81999 (France), encore en lice
  37: dusss62 (France), encore en lice
  38: edmond5555 (France), encore en lice
  39: elcalvoche67 (France), encore en lice
  40: eoui (France), encore en lice
  41: fransinatra10 (Espagne), encore en lice
  42: gabo596 (Espagne), encore en lice
  43: gentlepokpet (France), encore en lice
  44: golfker (Espagne), encore en lice
  45: gushansen56 (France), encore en lice
  46: hamzaidri (Espagne), encore en lice
  47: iacaboy (France), encore en lice
  48: kaeleay (France), encore en lice
  49: mafieuz (France), encore en lice
  50: malawita (Espagne), encore en lice
  51: manolo29493 (Espagne), encore en lice
  52: manubp2 (Espagne), encore en lice
  53: marinadu88 (France), encore en lice
  54: mat mat 16 (France), encore en lice
  55: mattmoi7pair (France), encore en lice
  56: mattttt01 (France), encore en lice
  57: mrbertin87 (France), encore en lice
  58: ogibus (France), encore en lice
  59: oxxo63 (France), encore en lice
  60: paranoyak 2 (France), encore en lice
  61: pertroch (France), encore en lice
  62: polloonfire (Espagne), encore en lice
  63: rbrto72smoke (Espagne), encore en lice
  64: regue27 (Espagne), encore en lice
  65: riccioloee (France), encore en lice
  66: tontongreg (France), encore en lice
  67: toritor21 (Espagne), encore en lice
  68: tottizgz (Espagne), encore en lice
  69: wsopjuuu (France), encore en lice
  70: xar@uet (Espagne), encore en lice
  71: xesket11 (Espagne), encore en lice
  72: psychoman59 (France), 
  73: Pableras (Espagne), 
  74: Houaou11 (France), 
  75: DrakzarJQK (Espagne), 
  76: Vinejay (France), 
  77: imvardo (Espagne), 
  78: ETBIMBOUM83 (France), 
  79: **civilin** (Espagne), 
  80: jeanluc95 (France), 
  81: Lis.Salander (Espagne), 
  82: pastekup (France), 
  83: m.alsina (Espagne), 
  84: morgane48 (France), 
  85: Dumoniaque (France), 
  86: TchAk47 (France), 
  87: vera9188 (Espagne), 
  88: vacancier86 (France), 
  89: Luis_Sev (Espagne), 
  90: soyung753 (France), 
  91: Marieel764 (France), 
  92: tchenkCall (France), 
  93: tominho141218 (France), 
  94: vizapa (Espagne), 
  95: gilliestar (France), 
  96: ALLINPRO67 (France), 
Vous avez terminé le tournoi (éliminé lors de la main #238152772307).


